code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
"17017","17017",5,Postal Code,ZKNT9,eng,true,superadmin,now()
"17018","17018",5,Postal Code,ZKNT10,eng,true,superadmin,now()
"17019","17019",5,Postal Code,ZKNT11,eng,true,superadmin,now()
"17020","17020",5,Postal Code,ZKNT8,eng,true,superadmin,now()
"17021","17021",5,Postal Code,ZKNT9,eng,true,superadmin,now()
"14023","14023",5,Postal Code,ZRBT14,eng,true,superadmin,now()
"14022","14022",5,Postal Code,ZRBT13,eng,true,superadmin,now()
"14025","14025",5,Postal Code,ZRBT15,eng,true,superadmin,now()
"17002","17002",5,Postal Code,ZKNT2,eng,true,superadmin,now()
"14050","14050",5,Postal Code,ZRBT16,eng,true,superadmin,now()
"17003","17003",5,Postal Code,ZKNT3,eng,true,superadmin,now()
"17000","17000",5,Postal Code,ZKNT,eng,true,superadmin,now()
"14053","14053",5,Postal Code,ZRBT17,eng,true,superadmin,now()
"17004","17004",5,Postal Code,ZKNT4,eng,true,superadmin,now()
"14000","14000",5,Postal Code,ZRBT12,eng,true,superadmin,now()
"14080","14080",5,Postal Code,ZRBT18,eng,true,superadmin,now()
"17005","17005",5,Postal Code,ZKNT5,eng,true,superadmin,now()
"10106","10106",5,Postal Code,ZRBT5,eng,true,superadmin,now()
"14110","14110",5,Postal Code,ZRBT19,eng,true,superadmin,now()
"10036","10036",5,Postal Code,ZRBT2,eng,true,superadmin,now()
"10104","10104",5,Postal Code,ZRBT3,eng,true,superadmin,now()
"10110","10110",5,Postal Code,ZRBT6,eng,true,superadmin,now()
"10111","10111",5,Postal Code,ZRBT7,eng,true,superadmin,now()
"10112","10112",5,Postal Code,ZRBT8,eng,true,superadmin,now()
"10113","10113",5,Postal Code,ZRBT9,eng,true,superadmin,now()
"10114","10114",5,Postal Code,ZRBT10,eng,true,superadmin,now()
"10190","10190",5,Postal Code,ZRBT11,eng,true,superadmin,now()
"14115","14115",5,Postal Code,ZRBT24,eng,true,superadmin,now()
"14111","14110",5,Postal Code,ZRBT20,eng,true,superadmin,now()
"14112","14112",5,Postal Code,ZRBT21,eng,true,superadmin,now()
"14113","14113",5,Postal Code,ZRBT22,eng,true,superadmin,now()
"14114","14114",5,Postal Code,ZRBT23,eng,true,superadmin,now()
"10105","10105",5,Postal Code,ZRBT4,eng,true,superadmin,now()
"17041","17041",5,Postal Code,ZKNT17,eng,true,superadmin,now()
"17040","17040",5,Postal Code,ZKNT16,eng,true,superadmin,now()
"17039","17039",5,Postal Code,ZKNT15,eng,true,superadmin,now()
"17038","17038",5,Postal Code,ZKNT14,eng,true,superadmin,now()
"17037","17037",5,Postal Code,ZKNT17,eng,true,superadmin,now()
"17036","17036",5,Postal Code,ZKNT16,eng,true,superadmin,now()
"17001","17001",5,Postal Code,ZKNT1,eng,true,superadmin,now()
"17035","17035",5,Postal Code,ZKNT15,eng,true,superadmin,now()
"17034","17034",5,Postal Code,ZKNT14,eng,true,superadmin,now()
"17033","17033",5,Postal Code,ZKNT17,eng,true,superadmin,now()
"17032","17032",5,Postal Code,ZKNT16,eng,true,superadmin,now()
